"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"2640","06116","拉夏贝尔","0.290","-0.010","-3.33%","0.00%","-36.96%","-10.77%","0.290","0.320","1200","3.12万","4200","1260","102.410%","0.000%","0.300","0.300","0.300","0.290","0.00","0.00","3.33","亏损","亏损","0.300","0.03","35.84%","1.59亿","6228.90万","5.48亿","2.15亿","-3.33%","-7.94%","0.00%","-57.35%","-74.78%","服装"
"2641","06186","中国飞鹤","23.100","-0.800","-3.35%","-0.43%","33.68%","27.20%","23.100","23.200","11.00万","3.70万","1841.34万","4.25亿","1.440%","0.839%","23.600","23.900","23.800","22.800","0.21","-0.43","4.18","38.056","47.925","12.854","0.62","55.93%","2063.60亿","2063.60亿","89.33亿","89.33亿","-1.28%","-2.53%","6.21%","39.81%","122.37%","乳制品"
"2642","01130","中国环境资源","0.086","-0.003","-3.37%","0.00%","40.98%","56.36%","0.085","0.088","75.20万","10.40万","23.20万","2.04万","0.000%","0.000%","0.088","0.089","0.090","0.086","0.01","0.00","4.49","亏损","亏损","0.309","0.08","63.73%","1.75亿","1.75亿","20.37亿","20.37亿","0.00%","-23.89%","40.98%","59.26%","14.67%","环保工程"
"2643","08032","非凡中国","0.570","-0.020","-3.39%","-1.72%","-3.39%","-8.06%","0.560","0.570","74.40万","2.40万","466.40万","269.90万","4.390%","24.210%","0.590","0.590","0.600","0.570","0.05","-1.72","5.09","4.750","6.477","1.350","1.76","-55.33%","54.13亿","54.13亿","94.96亿","94.96亿","-3.39%","-8.06%","-10.94%","33.18%","20.51%","消闲及文娱设施"
"2644","01490","网上车市","1.140","-0.040","-3.39%","-0.87%","0.00%","-7.32%","1.130","1.140","36.00万","1.20万","235.40万","269.95万","0.000%","0.000%","1.180","1.180","1.180","1.130","0.19","0.00","4.24","21.509","22.800","7.755","0.38","67.74%","14.07亿","14.07亿","12.35亿","12.35亿","-10.94%","-17.39%","0.00%","0.00%","0.00%","广告及宣传"
"2645","08220","比高集团","0.085","-0.003","-3.41%","0.00%","88.89%","49.12%","0.084","0.088","40.00万","14.00万","18.00万","1.52万","0.000%","0.000%","0.084","0.088","0.087","0.084","0.02","0.00","3.41","亏损","亏损","4.250","0.15","24.68%","7270.77万","7270.77万","8.55亿","8.55亿","-14.14%","-5.56%","23.19%","37.10%","57.41%","影视娱乐"
"2646","01656","亿仕登控股","3.950","-0.140","-3.42%","0.00%","85.45%","69.53%","0.000","3.950","0","2.40万","0","0","0.560%","0.556%","3.950","4.090","0.000","0.000","0.00","0.00","0.00","27.622","43.888","1.853","0.00","-100.00%","17.20亿","17.20亿","4.35亿","4.35亿","-3.42%","3.13%","14.83%","100.51%","260.07%","工业零件及器材"
"2647","00600","中国基建投资","0.028","-0.001","-3.45%","0.00%","-3.45%","-3.45%","0.027","0.028","699.20万","49.80万","112.00万","3.13万","0.000%","0.000%","0.028","0.029","0.029","0.027","0.03","3.70","6.90","亏损","亏损","0.167","0.26","13.26%","1.20亿","1.20亿","42.7亿","42.7亿","3.70%","0.00%","-3.45%","-6.67%","-33.33%","气油设备与服务"
"2648","08055","中国网络信息科技","0.028","-0.001","-3.45%","0.00%","-26.32%","-34.88%","0.028","0.032","70.40万","33.60万","204.80万","5.83万","0.000%","0.000%","0.029","0.029","0.032","0.028","0.05","0.00","13.79","亏损","亏损","1.037","0.45","-15.16%","1.10亿","1.10亿","39.35亿","39.35亿","-6.67%","-6.67%","-26.32%","12.00%","-70.21%","教育"
"2649","00347","鞍钢股份","3.030","-0.110","-3.50%","-0.98%","8.60%","-4.11%","3.030","3.050","50.00万","2.80万","2245.98万","6921.73万","2.050%","2.046%","3.150","3.140","3.160","3.030","1.59","-0.33","4.14","18.937","14.497","0.463","1.89","19.79%","284.98亿","42.77亿","94.05亿","14.12亿","-1.30%","-5.61%","-11.14%","31.17%","16.63%","钢铁"
