"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"1","01878","南戈壁-S","1.500","+1.000","200.00%","0.00%","0.00%","200.00%","1.490","1.500","1.00万","17.86万","2086.72万","3033.22万","0.000%","0.000%","0.750","0.500","1.900","0.750","7.65","0.66","230.00","亏损","12.605","-","807.87","-56.17%","4.09亿","4.09亿","2.73亿","2.73亿","0.00%","0.00%","0.00%","0.00%","0.00%","煤炭"
"2","02882","香港资源控股","0.044","+0.017","62.96%","2.33%","41.94%","33.33%","0.044","0.045","4.00万","160.00万","1.44亿","670.11万","0.000%","0.000%","0.031","0.027","0.058","0.031","9.33","2.33","100.00","亏损","亏损","-","26.74","-18.63%","6805.55万","6805.55万","15.47亿","15.47亿","62.96%","46.67%","46.67%","0.00%","-66.15%","其他零售商"
"3","02112","优库资源","0.145","+0.049","51.04%","4.32%","85.90%","68.60%","0.141","0.148","1.60万","5.00万","1623.60万","244.90万","0.000%","0.000%","0.098","0.096","0.330","0.098","1.08","-2.84","241.67","亏损","亏损","0.469","59.52","-87.00%","2.17亿","2.17亿","15亿","15亿","90.79%","107.14%","95.95%","36.79%","4.32%","钢铁"
"4","03326","保发集团","0.375","+0.125","50.00%","2.74%","60.26%","69.68%","0.365","0.375","6.00万","7.50万","1700.70万","588.70万","5.330%","8.000%","0.250","0.250","0.405","0.250","1.26","2.68","62.00","2.929","2.952","0.868","51.63","-71.95%","5.06亿","5.06亿","13.5亿","13.5亿","68.16%","72.02%","73.61%","36.36%","-33.04%","珠宝钟表"
"5","08071","中彩网通控股","0.057","+0.019","50.00%","9.62%","111.11%","90.00%","0.057","0.058","45.00万","30.00万","5659.50万","259.26万","0.000%","0.000%","0.038","0.038","0.057","0.038","1.21","1.71","50.00","亏损","亏损","7.125","5.70","0.80%","2.67亿","2.67亿","46.86亿","46.86亿","62.86%","90.00%","72.73%","147.83%","83.87%","电子商贸及互联网服务"
"6","00313","裕田中国","0.014","+0.004","40.00%","7.69%","40.00%","40.00%","0.013","0.014","35.00万","620.00万","2.58亿","339.97万","0.000%","0.000%","0.010","0.010","0.017","0.010","1.11","0.00","70.00","亏损","亏损","-","416.19","-1.53%","3.27亿","3.27亿","233.37亿","233.37亿","40.00%","40.00%","40.00%","40.00%","40.00%","地产发展商"
"7","00412","山高金融","0.640","+0.180","39.13%","3.23%","75.34%","64.10%","0.640","0.650","100.20万","69.60万","5812.81万","3190.85万","0.000%","0.000%","0.460","0.460","0.640","0.460","0.24","-1.59","39.13","亏损","亏损","6.274","1.26","47.99%","154.17亿","154.17亿","240.89亿","240.89亿","50.59%","56.10%","62.03%","42.22%","158.06%","-"
"8","08501","庄皇集团公司","0.580","+0.160","38.10%","0.00%","23.40%","45.00%","0.425","0.610","6000","2000","9.60万","5.12万","5.340%","0.000%","0.510","0.420","0.650","0.500","0.05","0.00","35.71","7.837","7.160","0.779","6.00","-84.00%","1.16亿","1.16亿","2亿","2亿","38.10%","41.46%","50.65%","61.11%","-6.45%","楼宇建造"
"9","01917","豆盟科技","0.265","+0.071","36.60%","-1.85%","76.67%","100.76%","0.265","0.270","50.00万","157.00万","9170.00万","2274.90万","0.000%","0.000%","0.194","0.194","0.275","0.193","3.99","-1.85","42.27","亏损","53.000","2.007","25.15","-27.05%","6.09亿","6.09亿","23亿","23亿","84.03%","77.85%","102.29%","76.67%","1.92%","广告及宣传"
"10","00818","高阳科技","3.130","+0.830","36.09%","-0.32%","255.68%","209.90%","3.130","3.140","21.90万","3.60万","1.34亿","4.07亿","0.000%","0.000%","2.640","2.300","3.250","2.640","4.84","-0.95","26.52","21.888","15.268","1.825","2.95","-26.67%","86.91亿","86.91亿","27.77亿","27.77亿","70.11%","117.36%","150.40%","174.56%","156.56%","电子商贸及互联网服务"
"11","00167","万威国际","0.049","+0.012","32.43%","0.00%","75.00%","40.00%","0.048","0.049","13.00万","15.00万","3869.00万","200.51万","0.000%","0.000%","0.037","0.037","0.120","0.037","1.49","-2.00","224.32","亏损","亏损","-","47.21","-5.33%","1.27亿","1.27亿","26亿","26亿","40.00%","44.12%","53.13%","75.00%","28.95%","消费电子产品"
"12","01866","中国心连心化肥","4.500","+1.100","32.35%","0.00%","87.50%","80.00%","4.410","4.500","2.00万","7000","630.90万","2716.54万","1.930%","1.933%","3.500","3.400","4.750","3.450","0.54","1.35","38.24","19.736","15.151","1.079","9.17","54.84%","52.72亿","52.72亿","11.72亿","11.72亿","36.78%","33.14%","69.17%","73.75%","88.92%","化肥及农用化合物"
"13","09900","德益控股","1.760","+0.430","32.33%","0.00%","50.43%","57.14%","1.460","1.760","2.00万","1.20万","28.00万","40.87万","0.000%","0.000%","1.260","1.330","1.800","1.260","0.08","0.00","40.60","20.000","26.666","3.148","15.91","21.74%","6.55亿","6.55亿","3.72亿","3.72亿","6.67%","26.62%","30.37%","35.38%","60.00%","楼宇建造"
"14","00365","芯成科技","1.680","+0.410","32.28%","1.20%","32.28%","34.40%","1.680","1.690","1.60万","2.60万","935.00万","1463.99万","0.000%","0.000%","1.350","1.270","1.720","1.300","0.64","0.00","33.07","112.000","亏损","7.029","46.29","1.94%","24.44亿","24.44亿","14.55亿","14.55亿","38.84%","34.40%","37.70%","5.00%","15.86%","工业零件及器材"
"15","02008","凤凰卫视","0.710","+0.170","31.48%","-1.39%","129.03%","100.00%","0.710","0.720","26.80万","15.20万","5703.60万","4057.60万","1.410%","0.000%","0.550","0.540","0.800","0.550","1.14","-2.74","46.30","亏损","28.400","0.813","14.57","0.53%","35.45亿","35.45亿","49.93亿","49.93亿","42.00%","22.41%","31.48%","77.50%","44.90%","广播"
"16","01900","中国智能交通","0.280","+0.067","31.46%","1.82%","68.67%","70.73%","0.275","0.280","30.00万","5.70万","774.90万","200.85万","0.000%","0.000%","0.208","0.213","0.280","0.208","0.47","1.82","33.80","亏损","亏损","0.204","9.53","0.76%","4.63亿","4.63亿","16.54亿","16.54亿","34.62%","35.92%","60.92%","72.84%","55.56%","系统开发及资讯科技顾问"
"17","03601","鲁大师","5.060","+1.210","31.43%","2.22%","73.88%","83.33%","5.060","5.070","19.60万","1.00万","3059.05万","1.44亿","1.980%","1.976%","4.060","3.850","5.270","4.010","11.37","0.80","32.73","12.311","11.822","2.643","4.28","15.85%","13.61亿","13.61亿","2.69亿","2.69亿","48.39%","45.40%","78.80%","32.11%","54.74%","软件开发"
"18","01069","宝沙发展","0.013","+0.003","30.00%","8.33%","30.00%","30.00%","0.012","0.013","300.00万","4324.00万","3.61亿","483.64万","0.000%","0.000%","0.011","0.010","0.026","0.011","3.28","0.00","150.00","亏损","亏损","0.565","50.88","-31.88%","1.43亿","1.43亿","110.24亿","110.24亿","30.00%","30.00%","30.00%","30.00%","30.00%","林业及木材"
"19","01842","植华集团","0.350","+0.080","29.63%","4.48%","9.38%","16.67%","0.330","0.350","4.80万","22.40万","1545.60万","480.38万","0.000%","0.000%","0.270","0.270","0.355","0.270","1.55","0.00","31.48","亏损","亏损","2.800","1.15","-88.48%","3.50亿","3.50亿","10亿","10亿","55.56%","6.06%","-2.78%","-66.67%","-11.39%","其他服饰配件"
"20","00596","浪潮国际","5.150","+1.170","29.40%","1.58%","161.42%","217.90%","5.140","5.150","2000","63.00万","4576.30万","2.12亿","0.780%","0.000%","4.180","3.980","5.150","3.990","4.02","0.00","29.15","143.055","28.932","3.020","1.41","-93.84%","58.65亿","58.65亿","11.39亿","11.39亿","134.09%","147.60%","168.23%","139.53%","51.92%","软件开发"
"21","01745","驴迹科技","1.190","+0.270","29.35%","-2.46%","35.23%","35.23%","1.190","1.200","13.60万","260.40万","5827.49万","6406.23万","0.000%","0.000%","0.940","0.920","1.250","0.940","3.98","-0.83","33.70","62.631","9.834","1.337","4.27","-37.05%","17.42亿","17.42亿","14.64亿","14.64亿","38.37%","40.00%","38.37%","36.78%","-12.50%","软件开发"
"22","02668","百德国际","0.250","+0.050","25.00%","0.00%","0.40%","25.00%","0.250","0.255","1.00万","1.00万","86.00万","20.82万","0.000%","0.000%","0.200","0.200","0.255","0.200","0.03","0.00","27.50","25.000","13.157","1.497","15.36","-95.00%","7.25亿","7.25亿","29亿","29亿","25.00%","11.61%","27.55%","-21.88%","-28.57%","采购及供应链管理"
"23","00209","瀛晟科学","0.062","+0.012","24.00%","0.00%","-20.51%","-13.89%","0.054","0.062","12.00万","62.40万","282.80万","16.18万","0.000%","0.000%","0.052","0.050","0.071","0.052","0.08","0.00","38.00","亏损","亏损","2.818","1.23","-38.31%","2.27亿","2.27亿","36.62亿","36.62亿","5.08%","-3.13%","-12.68%","63.16%","3.33%","玩具及消闲用品"
"24","08401","源想集团","2.500","+0.480","23.76%","0.00%","87.97%","-27.54%","2.460","2.500","2000","3.00万","238.80万","549.40万","0.000%","0.000%","2.030","2.020","2.500","2.030","1.19","0.00","23.27","亏损","亏损","9.469","3.53","-51.52%","5.00亿","5.00亿","2亿","2亿","6.84%","-8.42%","-29.58%","-13.79%","201.20%","广告及宣传"
"25","00361","顺龙控股","0.063","+0.012","23.53%","5.00%","103.23%","110.00%","0.063","0.064","4.00万","16.00万","662.00万","36.99万","0.000%","0.000%","0.050","0.051","0.062","0.050","0.13","-1.61","23.53","亏损","亏损","1.235","2.86","-23.86%","3.28亿","3.28亿","52.01亿","52.01亿","53.66%","57.50%","103.23%","125.00%","43.18%","玩具及消闲用品"
"26","02349","中国城市基础设施","0.122","+0.023","23.23%","0.00%","4.27%","22.00%","0.108","0.122","2.80万","11.20万","34.00万","3.76万","0.000%","0.000%","0.099","0.099","0.142","0.099","0.01","0.00","43.43","亏损","亏损","0.370","1.83","-34.51%","3.82亿","3.82亿","31.28亿","31.28亿","35.56%","29.79%","10.91%","-3.17%","-9.63%","地产投资"
"27","02708","艾伯科技","5.540","+1.040","23.11%","-1.77%","133.76%","150.68%","5.540","5.600","6000","1.20万","841.20万","4301.71万","0.000%","0.000%","4.500","4.500","5.840","4.200","1.75","-0.89","36.44","亏损","亏损","8.949","1.14","23.81%","26.57亿","26.57亿","4.8亿","4.8亿","79.29%","110.65%","136.75%","109.06%","120.72%","系统开发及资讯科技顾问"
"28","08198","乐透互娱","1.190","+0.220","22.68%","2.59%","112.50%","70.00%","1.170","1.190","8000","1.20万","247.86万","295.76万","0.000%","0.000%","1.050","0.970","1.370","1.000","0.65","-0.85","38.14","亏损","亏损","1.529","2.50","14.29%","4.51亿","4.51亿","3.79亿","3.79亿","58.67%","72.46%","85.94%","340.74%","98.33%","系统开发及资讯科技顾问"
"29","02148","VESYNC","18.040","+3.300","22.39%","0.00%","0.00%","64.90%","18.020","18.060","2.00万","1.90万","1987.44万","3.38亿","0.000%","0.000%","16.060","14.740","18.180","15.300","1.71","0.22","19.54","100.782","429.523","79.471","5.33","81.22%","210.21亿","210.21亿","11.65亿","11.65亿","25.63%","34.23%","34.63%","0.00%","0.00%","家庭电器"
"30","00243","品质国际","0.295","+0.053","21.90%","-1.67%","46.04%","41.83%","0.290","0.300","2.70万","12.60万","578.04万","166.78万","0.000%","0.000%","0.242","0.242","0.330","0.242","3.07","0.00","36.36","亏损","亏损","0.140","10.96","-14.39%","5546.65万","5546.65万","1.88亿","1.88亿","18.95%","31.11%","43.90%","19.92%","-25.32%","半导体"
"31","00310","嘉进投资国际","0.028","+0.005","21.74%","0.00%","16.67%","27.27%","0.025","0.028","234.00万","108.00万","976.50万","26.98万","0.000%","0.000%","0.025","0.023","0.029","0.025","0.81","0.00","17.39","亏损","亏损","0.311","9.96","26.04%","3391.70万","3391.70万","12.11亿","12.11亿","16.67%","21.74%","16.67%","55.56%","21.74%","投资及资产管理"
"32","02327","美瑞健康国际","0.690","+0.120","21.05%","-1.43%","43.75%","39.39%","0.690","0.700","75.00万","76.20万","7548.60万","5172.82万","0.000%","0.000%","0.650","0.570","0.730","0.600","1.77","-1.43","22.81","亏损","亏损","2.307","16.06","-16.51%","29.48亿","29.48亿","42.72亿","42.72亿","15.00%","18.97%","43.75%","102.94%","86.49%","综合企业"
"33","01859","煜盛文化","1.400","+0.240","20.69%","-2.78%","72.84%","55.56%","1.400","1.420","10.80万","2.50万","2236.10万","2927.96万","0.000%","0.000%","1.190","1.160","1.470","1.180","1.40","-2.80","25.00","11.382","13.861","1.425","1.57","-58.47%","22.40亿","22.40亿","16亿","16亿","30.84%","77.22%","59.09%","-23.91%","0.00%","广播"
"34","02307","锦兴国际控股","0.440","+0.075","20.55%","10.00%","29.41%","0.00%","0.400","0.440","6000","5.00万","74.20万","28.23万","3.410%","3.409%","0.380","0.365","0.440","0.380","0.09","0.00","16.44","亏损","6.376","0.210","30.41","45.10%","3.83亿","3.83亿","8.7亿","8.7亿","2.33%","3.53%","7.32%","10.00%","-8.33%","纺织品及布料"
"35","08271","环球数码创意","0.107","+0.018","20.22%","0.00%","28.92%","7.00%","0.084","0.107","1.60万","30.00万","73.60万","7.52万","74.770%","0.000%","0.082","0.089","0.110","0.082","0.05","0.00","31.46","11.888","17.833","0.371","3.02","29.32%","1.62亿","1.62亿","15.1亿","15.1亿","20.22%","-5.31%","1.90%","33.75%","-23.57%","地产投资"
"36","01217","中国创新投资","0.012","+0.002","20.00%","0.00%","20.00%","20.00%","0.012","0.013","520.00万","4108.00万","7.14亿","895.74万","0.000%","0.000%","0.011","0.010","0.017","0.010","5.58","0.00","70.00","亏损","6.000","0.226","52.62","12.86%","1.54亿","1.54亿","128.02亿","128.02亿","20.00%","20.00%","20.00%","20.00%","9.09%","投资及资产管理"
"37","06128","泛亚国际","1.270","+0.210","19.81%","0.00%","-68.72%","53.01%","1.260","1.270","3.20万","8.60万","3257.20万","3833.58万","0.000%","0.000%","1.070","1.060","1.300","1.000","6.75","-0.01","28.30","亏损","亏损","3.931","0.42","-52.11%","6.13亿","6.13亿","4.82亿","4.82亿","130.91%","111.67%","118.97%","-67.85%","-69.69%","-"
"38","08150","无缝绿色","0.085","+0.014","19.72%","3.66%","112.50%","174.19%","0.074","0.085","95.00万","21.00万","457.00万","35.05万","0.000%","0.000%","0.060","0.071","0.085","0.060","0.29","0.00","35.21","亏损","亏损","4.250","1.59","-62.46%","1.34亿","1.34亿","15.73亿","15.73亿","70.00%","37.10%","32.81%","214.81%","150.00%","家具"
"39","00058","新威国际","0.340","+0.055","19.30%","0.00%","13.33%","13.33%","0.275","0.340","4.00万","16.00万","2.00万","7000","0.000%","0.000%","0.350","0.285","0.350","0.350","0.01","0.00","0.00","亏损","亏损","0.354","0.37","-44.00%","6106.40万","6106.40万","1.8亿","1.8亿","-2.86%","3.03%","-2.86%","-9.33%","-48.48%","建筑材料"
"40","08473","弥明生活百货","0.310","+0.050","19.23%","0.00%","56.57%","65.78%","0.305","0.310","37.00万","20.00万","4249.00万","1349.76万","1.940%","4.838%","0.295","0.260","0.340","0.290","3.79","0.00","19.23","15.500","22.142","2.500","8.17","-47.80%","3.47亿","3.47亿","11.2亿","11.2亿","34.20%","73.18%","70.33%","44.19%","40.91%","其他零售商"
"41","00708","恒大汽车","58.700","+9.400","19.07%","1.91%","144.07%","94.37%","57.800","58.700","500","7.25万","1996.86万","11.64亿","0.000%","0.000%","55.900","49.300","60.200","55.850","0.23","1.91","8.82","亏损","亏损","-","2.09","-45.61%","5175.33亿","5175.33亿","88.17亿","88.17亿","26.65%","40.10%","104.17%","91.21%","713.02%","医疗及医学美容服务"
"42","01146","中国服饰控股","0.169","+0.027","19.01%","37.40%","53.64%","65.69%","0.149","0.169","2000","5.80万","5.60万","7488","0.000%","0.000%","0.170","0.142","0.180","0.119","0.00","0.00","42.96","亏损","28.166","0.293","0.13","-99.38%","5.82亿","5.82亿","34.45亿","34.45亿","74.23%","69.00%","44.44%","16.55%","6.29%","服装"
"43","08020","宏海控股集团","0.038","+0.006","18.75%","0.00%","22.58%","40.74%","0.027","0.038","26.00万","25.00万","506.00万","18.21万","0.000%","0.000%","0.035","0.032","0.040","0.035","0.21","-2.56","15.63","亏损","亏损","4.750","7.98","2.62%","9397.25万","9397.25万","24.73亿","24.73亿","26.67%","46.15%","40.74%","46.15%","-28.30%","航运及港口"
"44","08133","铸能控股","0.013","+0.002","18.18%","0.00%","-13.33%","8.33%","0.012","0.013","400.00万","674.00万","1258.00万","15.43万","0.000%","0.000%","0.012","0.011","0.013","0.012","0.30","0.00","9.09","亏损","亏损","1.300","2.10","32.72%","5408.00万","5408.00万","41.6亿","41.6亿","18.18%","18.18%","-27.78%","-73.47%","-45.83%","工业零件及器材"
"45","06860","指尖悦动","0.740","+0.110","17.46%","2.78%","23.33%","-3.90%","0.730","0.740","1.10万","62.70万","338.70万","239.16万","0.000%","0.000%","0.640","0.630","0.750","0.640","0.18","0.00","17.46","16.444","33.636","0.875","0.49","-38.93%","14.29亿","14.29亿","19.31亿","19.31亿","17.46%","17.46%","8.82%","52.58%","15.63%","软件开发"
"46","02051","51信用卡","0.750","+0.110","17.19%","0.00%","47.06%","59.57%","0.730","0.750","6.65万","1000","573.35万","421.53万","0.000%","0.000%","0.630","0.640","0.780","0.630","0.42","1.32","23.44","亏损","亏损","0.495","4.06","-57.01%","10.19亿","10.19亿","13.58亿","13.58亿","41.51%","41.51%","41.51%","25.00%","-40.48%","-"
"47","08481","盛龙锦秀国际","0.234","+0.034","17.00%","0.00%","11.43%","-0.43%","0.215","0.234","5000","5000","1.00万","2300","0.000%","0.000%","0.220","0.200","0.240","0.220","0.00","0.00","10.00","8.666","5.571","0.540","2.50","-86.67%","1.17亿","1.17亿","5亿","5亿","-0.43%","-2.09%","1.74%","9.86%","-42.22%","印刷及包装"
"48","00574","百信国际","0.069","+0.010","16.95%","0.00%","-14.81%","16.95%","0.067","0.069","11.80万","62.60万","324.60万","21.67万","0.000%","0.000%","0.059","0.059","0.074","0.059","0.22","0.00","25.42","亏损","亏损","0.129","1.50","-77.88%","1.02亿","1.02亿","14.75亿","14.75亿","25.45%","-4.17%","43.75%","-37.27%","-41.53%","药品"
"49","09911","赤子城科技","8.960","+1.290","16.82%","-0.33%","337.07%","406.21%","8.940","8.970","2000","8000","4044.10万","3.45亿","0.000%","0.000%","7.900","7.670","9.350","7.540","4.05","1.13","23.60","135.757","119.466","12.108","0.59","-40.63%","89.50亿","89.50亿","9.99亿","9.99亿","118.54%","202.70%","414.94%","397.78%","309.13%","电子商贸及互联网服务"
"50","00628","国美金融科技","0.920","+0.130","16.46%","-1.08%","58.62%","80.39%","0.920","0.930","5.40万","5.40万","2488.80万","2230.68万","0.000%","0.000%","0.810","0.790","0.980","0.810","0.92","1.08","21.52","亏损","亏损","1.243","2.83","-11.77%","24.85亿","24.85亿","27.01亿","27.01亿","24.32%","50.82%","46.03%","12.20%","53.33%","-"
"51","01950","深蓝科技控股","0.360","+0.050","16.13%","2.86%","35.85%","38.46%","0.355","0.360","4000","49.60万","1565.20万","514.58万","0.000%","0.000%","0.310","0.310","0.360","0.310","1.57","1.41","16.13","51.428","13.846","1.358","1.22","9.60%","3.60亿","3.60亿","10亿","10亿","14.29%","53.85%","46.94%","30.91%","0.00%","特殊化工用品"
"52","08137","洪桥集团","0.580","+0.080","16.00%","1.75%","78.46%","26.09%","0.570","0.580","42.60万","5.80万","858.12万","476.04万","0.000%","0.000%","0.490","0.500","0.580","0.490","0.09","3.48","18.00","20.714","13.809","1.690","3.19","22.24%","57.16亿","57.16亿","98.55亿","98.55亿","11.54%","-1.69%","-9.38%","78.46%","93.33%","新能源物料"
"53","01796","耀高控股","0.480","+0.065","15.66%","7.87%","-18.64%","26.32%","0.400","0.480","30.00万","16.80万","32.80万","14.69万","16.670%","16.666%","0.440","0.415","0.480","0.440","0.07","-5.49","9.64","亏损","亏损","1.627","4.46","35.42%","2.30亿","2.30亿","4.8亿","4.8亿","29.73%","21.52%","18.52%","18.52%","-15.79%","楼宇建造"
"54","03302","光控精技","0.740","+0.100","15.63%","5.71%","2.78%","-9.76%","0.640","0.770","4000","4000","1.40万","9220","0.680%","2.297%","0.630","0.640","0.750","0.630","0.00","1.33","18.75","123.333","亏损","1.254","0.76","-59.66%","6.34亿","6.34亿","8.57亿","8.57亿","8.82%","-3.90%","-15.91%","29.82%","24.58%","工业零件及器材"
"55","08496","新加坡美食控股","0.670","+0.090","15.52%","0.00%","19.64%","39.58%","0.660","0.670","7500","2500","94.75万","65.39万","0.000%","0.000%","0.640","0.580","0.870","0.600","0.40","1.52","46.55","亏损","亏损","3.941","4.21","-31.34%","1.61亿","1.61亿","2.4亿","2.4亿","8.06%","45.65%","39.58%","-76.07%","0.00%","包装食品"
"56","00564","郑煤机","15.000","+2.000","15.38%","0.13%","48.22%","42.31%","14.960","15.000","6600","5.46万","539.58万","7760.84万","1.350%","1.353%","13.300","13.000","15.020","12.960","2.22","-0.13","15.85","19.659","22.692","1.731","1.26","-78.44%","259.87亿","36.49亿","17.32亿","2.43亿","27.55%","28.21%","29.53%","212.50%","289.91%","汽车零件"
"57","00923","综合环保集团","0.053","+0.007","15.22%","1.92%","12.77%","20.45%","0.053","0.054","15.20万","65.20万","3222.60万","160.39万","0.000%","0.000%","0.046","0.046","0.058","0.046","0.67","1.92","26.09","亏损","亏损","0.297","72.32","-19.38%","2.56亿","2.56亿","48.23亿","48.23亿","23.26%","20.45%","12.77%","17.78%","3.92%","纸及纸制品"
"58","01023","时代集团控股","0.500","+0.065","14.94%","0.00%","25.00%","29.87%","0.485","0.500","2.00万","5.90万","213.10万","99.07万","10.000%","10.000%","0.435","0.435","0.520","0.435","0.22","1.01","19.54","亏损","亏损","0.260","2.65","-41.05%","4.83亿","4.83亿","9.65亿","9.65亿","16.28%","11.11%","35.14%","44.93%","-42.53%","其他服饰配件"
"59","00631","三一国际","8.950","+1.140","14.60%","-0.11%","115.66%","54.31%","8.920","8.950","1000","2000","1852.10万","1.58亿","1.330%","1.329%","7.900","7.810","9.050","7.710","0.59","0.00","17.16","25.211","27.623","3.386","2.39","-61.24%","279.89亿","279.89亿","31.27亿","31.27亿","29.52%","32.99%","33.58%","128.90%","104.81%","重机械"
"60","06185","康希诺生物-B","410.000","+52.000","14.53%","0.00%","0.00%","0.00%","409.800","410.000","600","800","299.03万","11.53亿","0.000%","0.000%","357.400","358.000","412.800","357.400","2.25","0.00","15.48","亏损","亏损","13.947","1.20","-29.58%","1014.54亿","543.95亿","2.47亿","1.33亿","0.00%","0.00%","0.00%","0.00%","0.00%","生物技术"
"61","08285","森浩集团","0.079","+0.010","14.49%","0.00%","38.60%","46.30%","0.059","0.079","5000","40.00万","2.00万","1580","0.000%","0.000%","0.079","0.069","0.079","0.079","0.00","0.00","0.00","亏损","亏损","1.253","0.32","-78.45%","4424.00万","4424.00万","5.6亿","5.6亿","51.92%","49.06%","43.64%","31.67%","0.00%","其他服饰配件"
"62","00146","太平地毡","1.430","+0.180","14.40%","0.00%","30.00%","24.35%","1.080","1.660","1000","1000","1000","1430","118.880%","0.000%","1.430","1.250","1.430","1.430","0.00","0.00","0.00","亏损","亏损","0.821","2.50","0.00%","3.03亿","3.03亿","2.12亿","2.12亿","7.52%","21.19%","24.35%","21.19%","18.18%","纺织品及布料"
"63","08331","倍搏集团","0.064","+0.008","14.29%","0.00%","28.00%","0.00%","0.056","0.064","1.00万","28.00万","47.00万","2.97万","0.000%","0.000%","0.061","0.056","0.065","0.061","0.06","0.00","7.14","12.800","6.400","0.581","0.12","-2.67%","5091.66万","5091.66万","7.96亿","7.96亿","-20.00%","-1.54%","-1.54%","-50.77%","10.34%","-"
"64","00842","理士国际","1.200","+0.150","14.29%","0.84%","189.16%","160.87%","1.190","1.200","1.00万","8000","1929.50万","2323.42万","1.670%","1.666%","1.070","1.050","1.290","1.070","1.42","1.67","20.95","21.052","11.111","0.465","2.64","-15.94%","16.29亿","16.29亿","13.58亿","13.58亿","46.34%","64.38%","114.29%","175.86%","106.90%","新能源物料"
"65","06830","华众车载","1.120","+0.140","14.29%","0.00%","83.61%","86.67%","1.100","1.120","1.00万","6000","402.52万","429.06万","0.450%","0.446%","1.000","0.980","1.120","0.970","0.23","-0.90","15.31","32.000","21.538","1.694","1.70","-41.25%","19.81亿","19.81亿","17.69亿","17.69亿","21.74%","28.74%","86.67%","86.67%","17.40%","汽车零件"
"66","08181","时时服务","0.202","+0.025","14.12%","0.00%","1.00%","8.02%","0.180","0.202","3.20万","17.60万","23.20万","4.64万","0.000%","0.000%","0.195","0.177","0.202","0.195","0.02","0.00","3.96","6.516","14.428","0.637","24.17","-2.33%","2.07亿","2.07亿","10.26亿","10.26亿","16.76%","15.43%","12.22%","-14.04%","-34.84%","物业服务及管理"
"67","08035","骏高控股","0.194","+0.024","14.12%","0.00%","14.12%","25.16%","0.183","0.194","3.00万","6.00万","162.00万","30.90万","0.000%","0.000%","0.185","0.170","0.200","0.173","0.27","0.00","15.88","194.000","亏损","2.771","4.05","-37.06%","1.16亿","1.16亿","6亿","6亿","32.88%","21.25%","21.25%","-3.96%","-9.77%","航空货运及物流"
"68","03773","年年卡","0.530","+0.065","13.98%","1.92%","60.61%","51.43%","0.530","0.540","3.20万","4.80万","281.20万","141.49万","0.000%","0.000%","0.470","0.465","0.540","0.465","0.68","-3.74","16.13","11.041","265.000","0.994","3.01","13.70%","2.20亿","2.20亿","4.15亿","4.15亿","17.78%","3.92%","45.21%","29.27%","6.00%","电子商贸及互联网服务"
"69","00245","中薇金融","0.090","+0.011","13.92%","0.00%","3.45%","28.57%","0.087","0.090","10.00万","20.00万","1176.00万","103.98万","0.000%","0.000%","0.080","0.079","0.092","0.080","0.03","1.10","15.19","亏损","亏损","0.592","1.68","13.33%","31.24亿","31.24亿","347.14亿","347.14亿","4.65%","4.65%","21.62%","-16.67%","-9.09%","证券及经纪"
"70","06111","大发地产","7.940","+0.970","13.92%","1.02%","22.87%","12.31%","7.890","7.940","1000","6000","188.00万","1426.24万","1.410%","2.002%","7.040","6.970","7.940","6.940","0.23","0.13","14.35","17.644","11.574","1.679","1.87","-52.00%","65.73亿","65.73亿","8.28亿","8.28亿","13.11%","13.43%","19.58%","60.02%","53.07%","地产发展商"
"71","01486","思城控股","0.820","+0.100","13.89%","0.00%","-5.75%","9.33%","0.730","0.970","2.00万","3.60万","4.80万","3.66万","2.440%","0.000%","0.740","0.720","0.820","0.740","0.02","0.00","11.11","亏损","亏损","0.579","4.00","-35.24%","2.36亿","2.36亿","2.88亿","2.88亿","13.89%","10.81%","9.33%","-13.68%","-41.84%","楼宇建造"
"72","03989","首创环境","0.156","+0.019","13.87%","0.65%","32.20%","30.00%","0.153","0.158","20.40万","352.80万","1186.00万","178.74万","0.000%","0.000%","0.136","0.137","0.158","0.136","0.08","-0.65","16.06","6.240","6.782","0.536","2.96","-71.06%","22.30亿","22.30亿","142.95亿","142.95亿","21.88%","4.70%","0.00%","11.43%","15.56%","非传统/可再生能源"
"73","08029","太阳国际","0.250","+0.030","13.64%","0.00%","14.16%","20.19%","0.250","0.270","20.00万","1.00万","62.50万","16.61万","0.000%","0.000%","0.250","0.220","0.295","0.208","0.03","0.00","39.55","亏损","亏损","4.310","2.53","-72.64%","5.43亿","5.43亿","21.72亿","21.72亿","28.21%","33.69%","19.05%","-9.09%","-9.09%","证券及经纪"
