"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","总市值","流通市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"1","IFMK","iFresh","3.300","+1.800","120.00%","-6.78%","347.15%","321.46%","0.000","0.000","0","0","4684.04万","1.32亿","0.000%","1.470","1.500","4.250","1.410","1093.00","3.40","189.33","亏损","亏损","12.790","27.88","0.00%","1.470","2.780","-2.00%","-15.76%","7.64万","212.24万","5.99","23.33","-0.030","-0.520","9976.03万","1414.21万","3023.04万","428.55万","192.04%","168.29%","256.37%","217.31%","683.85%","杂货店"
"2","TGHI","TOUCHPOINT GROUP","0.072","+0.034","88.71%","7.58%","255.00%","294.44%","0.000","0.000","0","0","1640.04万","98.96万","0.000%","0.040","0.038","0.079","0.038","0.00","1.27","107.35","-","-","-","5.74","0.00%","0.039","0.000","2.36%","0.00%","23","0","0.00","0.00","0.000","0.000","0","0","0","0","162.96%","195.83%","238.10%","108.82%","184.00%","-"
"3","BRQS","播思科技","2.945","+1.235","72.22%","9.48%","172.69%","198.68%","0.000","0.000","0","0","1.13亿","2.89亿","0.000%","2.020","1.710","3.070","1.900","601.32","-1.69","68.42","亏损","亏损","-","6.03","0.00%","2.020","2.600","18.13%","-11.71%","194.78万","678.48万","18.13","30.90","+0.310","-0.345","1.30亿","5542.63万","4414.32万","1882.05万","79.57%","149.58%","111.87%","230.53%","39.57%","软件-应用"
"4","BIQIF","BIQI INTL HLDGS","0.150","+0.061","68.73%","0.00%","14900.00%","25.00%","0.000","0.000","0","0","1.12万","1308","0.000%","0.244","0.089","0.244","0.089","0.00","0.00","174.97","-","-","-","1.04","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","87.50%","172.73%","150.00%","400.00%","476.92%","-"
"5","RCMT","RCM Technologies","6.100","+2.410","65.31%","-2.09%","348.53%","194.69%","0.000","0.000","0","0","6355.50万","5.37亿","0.000%","9.895","3.690","12.490","5.770","792.50","0.15","182.11","亏损","19.677","3.085","64.31","0.00%","9.860","5.800","167.21%","-4.92%","7004.71万","77.64万","158.27","9.84","+6.170","-0.300","7291.90万","4891.94万","1195.39万","801.96万","102.66%","131.06%","185.05%","227.96%","122.63%","工程建设"
"6","ATLS","阿特拉斯能源","0.0180","+0.0070","63.64%","0.00%","500.00%","260.00%","0.0000","0.0000","0","0","117.09万","1.41万","0.000%","0.0110","0.0110","0.0180","0.0101","3.66","0.00","71.82","亏损","亏损","-","2.71","0.00%","0.0000","0.0000","0.00%","0.00%","0","0","0.00","0.00","0.0000","0.0000","57.55万","57.53万","3197.38万","3196.39万","80.00%","100.00%","260.00%","500.00%","125.00%","-"
"7","BMBL","Bumble","70.310","+27.310","63.51%","-0.69%","0.00%","63.51%","0.000","0.000","0","0","4350.27万","32.30亿","0.000%","76.000","43.000","79.600","70.000","96.67","0.50","22.33","116.407","116.407","7.097","0.00","0.00%","0.000","71.750","0.00%","2.05%","0","1549.87万","0.00","5.58","0.000","+1.440","76.95亿","31.64亿","1.09亿","4500万","0.00%","0.00%","0.00%","0.00%","0.00%","软件-应用"
"8","CGIPQ","CELADON GRP INC","0.0130","+0.0050","62.50%","0.00%","116.67%","8.33%","0.0000","0.0000","0","0","33.88万","4323","0.000%","0.0110","0.0080","0.0150","0.0105","0.00","0.00","56.25","-","-","-","1.37","0.00%","0.0000","0.0000","0.00%","0.00%","0","0","0.00","0.00","0.0000","0.0000","0","0","0","0","62.50%","18.18%","116.67%","62.50%","18.18%","-"
"9","SOS","SOS Ltd","6.320","+2.350","59.19%","-7.67%","211.33%","327.03%","0.000","0.000","0","0","1.49亿","8.66亿","0.000%","4.240","3.970","7.180","4.180","821.07","2.73","75.57","6.631","亏损","210.666","4.04","0.00%","4.240","7.700","6.80%","21.84%","379.04万","2189.07万","7.81","33.39","+0.270","+1.380","4.11亿","1.15亿","6508.11万","1817.2万","81.61%","163.33%","171.24%","236.17%","0.00%","软件基础设施"
"10","DESTQ","DESTINATN MTRNTY","0.019","+0.007","58.33%","0.00%","58.33%","111.11%","0.000","0.000","0","0","56.82万","9156","0.000%","0.014","0.012","0.019","0.011","0.00","-0.53","66.67","-","-","-","4.33","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","90.00%","72.73%","72.73%","-20.83%","0.00%","-"
"11","LDI","loanDepot","22.000","+8.000","57.14%","-2.00%","0.00%","57.14%","0.000","0.000","0","0","789.65万","1.40亿","0.000%","14.000","14.000","23.791","14.000","52.64","10.75","69.93","-","-","20.128","0.00","0.00%","0.000","21.550","0.00%","-2.05%","0","31.88万","0.00","6.82","0.000","-0.450","71.50亿","3.30亿","3.25亿","1500万","0.00%","0.00%","0.00%","0.00%","0.00%","抵押融资"
"12","AYLA","Ayala Pharmaceuticals","19.950","+6.950","53.46%","0.50%","91.83%","81.36%","0.000","0.000","0","0","76.61万","1596.81万","0.000%","19.200","13.000","28.680","17.500","12.24","-0.61","86.00","亏损","亏损","5.431","37.05","0.00%","18.000","20.280","38.46%","1.65%","4.44万","2.16万","33.46","10.93","+5.000","+0.330","2.55亿","1.25亿","1277.8万","625.96万","42.81%","54.29%","58.33%","60.24%","0.00%","生物技术"
"13","EPIX","ESSA Pharma","28.650","+9.280","47.91%","0.99%","342.81%","140.15%","0.000","0.000","0","0","242.28万","6923.67万","0.000%","23.880","19.370","32.690","23.880","15.57","-0.07","45.48","亏损","亏损","12.175","11.14","0.00%","23.880","28.750","23.28%","0.35%","178.61万","2.43万","40.47","2.58","+4.510","+0.100","9.65亿","4.46亿","3368.24万","1555.78万","65.89%","68.04%","81.90%","305.81%","435.51%","生物技术"
"14","BVS","Bioventus Inc.","19.210","+6.210","47.77%","1.43%","0.00%","47.77%","0.000","0.000","0","0","348.44万","6100.18万","0.000%","15.100","13.000","19.510","15.040","47.41","3.13","34.39","54.112","152.460","9.125","0.00","0.00%","0.000","18.970","0.00%","-1.25%","0","24.94万","0.00","6.30","0.000","-0.240","13.07亿","1.41亿","6804.43万","735万","0.00%","0.00%","0.00%","0.00%","0.00%","诊断与研究"
"15","CTRM","Castor Maritime Inc","1.730","+0.540","45.38%","3.59%","1200.75%","835.14%","0.000","0.000","0","0","6.05亿","10.09亿","0.000%","1.590","1.190","1.950","1.400","269.24","1.75","46.22","亏损","5.580","16.634","2.00","0.00%","1.590","1.700","33.61%","-1.73%","2983.44万","1045.06万","36.97","14.45","+0.400","-0.030","8.80亿","3.89亿","5.09亿","2.25亿","157.06%","183.61%","365.05%","948.48%","42.98%","海运"
"16","AEI","ALSET EHOME INTERNATIONAL INC","12.800","+3.940","44.47%","0.63%","0.00%","114.05%","0.000","0.000","0","0","207.52万","2639.30万","0.000%","8.610","8.860","16.510","8.440","96.07","2.18","91.08","亏损","亏损","2.421","3.21","0.00%","8.560","12.550","-3.39%","-1.95%","4066","2.87万","3.39","5.23","-0.300","-0.250","1.10亿","2764.80万","857万","216万","108.13%","112.27%","89.63%","0.00%","0.00%","房地产-发展"
"17","EVARF","LOMBARD MEDICAL","0.0390","+0.0110","39.29%","0.00%","457.14%","457.14%","0.0000","0.0000","0","0","12.30万","5737","0.000%","0.0500","0.0280","0.0500","0.0390","0.00","0.00","39.29","-","-","-","0.25","0.00%","0.0000","0.0000","0.00%","0.00%","0","0","0.00","0.00","0.0000","0.0000","0","0","0","0","333.33%","457.14%","333.33%","387.50%","3800.00%","-"
"18","INPX","Inpixon","2.320","+0.630","37.28%","-5.11%","129.70%","127.45%","0.000","0.000","0","0","1.04亿","2.34亿","0.000%","1.680","1.690","2.890","1.625","143.42","2.96","74.85","0.132","亏损","4.272","5.49","0.00%","1.710","2.160","1.18%","-6.90%","28.92万","228.77万","4.73","19.40","+0.020","-0.160","1.68亿","1.68亿","7253.33万","7251.11万","38.92%","60.00%","98.29%","71.85%","-4.53%","软件-应用"
"19","YUII","山东昱合","0.0004","+0.0001","33.33%","0.00%","0.00%","0.00%","0.0000","0.0000","0","0","1.31万","5","0.000%","0.0004","0.0003","0.0004","0.0004","0.07","0.00","0.00","-","-","-","1.43","0.00%","0.0000","0.0000","0.00%","0.00%","0","0","0.00","0.00","0.0000","0.0000","0","8100","2025万","2025万","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"20","GNMK","GenMark Diagnostics","22.450","+5.590","33.16%","1.40%","70.98%","53.77%","0.000","0.000","0","0","778.31万","1.69亿","0.000%","19.270","16.860","23.490","19.100","13.41","-0.85","26.04","亏损","亏损","17.137","5.92","0.00%","19.160","21.640","13.64%","-3.61%","129.64万","71.46万","8.84","3.83","+2.300","-0.810","16.10亿","13.03亿","7172.1万","5804.75万","54.19%","61.39%","51.95%","41.91%","416.09%","医疗设备"
"21","PRGNF","帕拉冈船务","0.020","+0.005","32.67%","0.00%","171.43%","216.67%","0.000","0.000","0","0","4.55万","682","0.000%","0.015","0.015","0.020","0.010","21.32","0.00","65.33","-","-","-","0.59","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.26万","4247","66.17万","21.34万","35.71%","171.43%","137.50%","375.00%","46.15%","-"
"22","KONAQ","KONA GRILL INC","0.090","+0.022","32.35%","0.00%","592.31%","900.00%","0.000","0.000","0","0","20.89万","1.58万","0.000%","0.055","0.068","0.099","0.055","0.00","0.00","64.71","-","-","-","2.19","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","200.00%","221.43%","462.50%","650.00%","260.00%","-"
"23","QUOT","Quotient Technology","13.340","+3.250","32.21%","0.72%","86.83%","41.61%","0.000","0.000","0","0","592.02万","7659.75万","0.000%","12.100","10.090","13.680","11.548","9.34","0.30","21.13","亏损","亏损","4.588","9.94","0.00%","12.000","13.460","18.93%","0.90%","22.14万","21.89万","10.01","9.00","+1.910","+0.120","12.07亿","8.46亿","9044.98万","6340.63万","37.53%","47.57%","35.85%","52.28%","36.40%","广告公司"
"24","HYLN","HYLIION HOLDINGS CORP","20.780","+5.000","31.69%","1.91%","-6.94%","26.09%","0.000","0.000","0","0","6889.45万","13.40亿","0.000%","15.980","15.780","22.250","15.310","86.71","0.05","43.98","亏损","亏损","14.281","14.50","0.00%","15.920","20.430","0.89%","-1.68%","82.19万","1260.71万","1.08","7.41","+0.140","-0.350","31.98亿","16.51亿","1.54亿","7945.4万","30.69%","21.59%","20.32%","-22.58%","106.77%","汽车零件"
"25","SGFY","Signify Health, Inc.","31.560","+7.560","31.50%","-1.42%","0.00%","31.50%","0.000","0.000","0","0","1243.52万","3.97亿","0.000%","32.000","24.000","33.500","30.550","52.92","-1.20","12.29","亏损","亏损","5.354","0.00","0.00%","0.000","32.470","0.00%","2.88%","0","444.99万","0.00","3.45","0.000","+0.910","70.18亿","7.42亿","2.22亿","2350万","0.00%","0.00%","0.00%","0.00%","0.00%","卫生信息服务"
"26","MVIS","维视图像","18.310","+4.310","30.79%","1.67%","900.55%","240.33%","0.000","0.000","0","0","4356.54万","8.39亿","0.000%","19.680","14.000","21.750","17.000","28.98","0.49","33.93","亏损","亏损","-","1.89","0.00%","19.740","17.500","41.00%","-4.42%","2103.49万","374.86万","23.14","4.92","+5.740","-0.810","27.70亿","27.52亿","1.51亿","1.5亿","77.25%","152.90%","179.76%","1189.44%","2916.47%","科技仪器"
"27","CCNC","CODE CHAIN NEW CONTINENT LIMITED","4.970","+1.145","29.93%","6.42%","203.05%","156.19%","4.500","0.000","500","0","55.17万","249.26万","0.000%","4.280","3.825","4.980","4.010","2.93","1.05","25.36","亏损","亏损","5.895","0.58","100.00%","4.300","5.290","12.42%","6.44%","5.07万","17.01万","16.47","16.70","+0.475","+0.320","1.45亿","9369.98万","2917.6万","1885.31万","73.78%","141.26%","115.15%","260.14%","233.56%","废物管理"
"28","MOSY","正一科技","5.220","+1.190","29.53%","4.40%","272.86%","113.93%","0.000","0.000","0","0","391.39万","1882.90万","0.000%","4.360","4.030","5.880","3.660","134.45","-0.44","55.09","亏损","亏损","4.754","5.14","0.00%","4.370","5.010","8.44%","-4.02%","1.49万","6.87万","14.64","11.49","+0.340","-0.210","1854.76万","1519.58万","355.32万","291.11万","60.62%","80.62%","66.24%","216.36%","120.63%","半导体"
"29","CAN","嘉楠科技","10.650","+2.380","28.78%","-2.83%","300.38%","79.60%","0.000","0.000","0","0","2954.73万","3.00亿","0.000%","9.000","8.270","11.140","8.820","42.52","-0.63","28.05","亏损","亏损","21.047","1.93","0.00%","9.000","11.220","8.83%","5.35%","448.90万","324.71万","11.37","11.74","+0.730","+0.570","16.84亿","7.40亿","1.58亿","6949.78万","88.83%","109.65%","103.24%","427.23%","57.08%","计算机硬件"
"30","CALI","中国汽车物流","0.270","+0.060","28.57%","0.00%","125.00%","157.14%","0.000","0.000","0","0","1.13万","2996","0.000%","0.180","0.210","0.300","0.180","0.47","0.00","57.14","亏损","0.272","0.052","1.66","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","130.69万","64.43万","484.04万","238.63万","69.81%","58.82%","35.68%","237.50%","170.00%","-"
"31","FENG","凤凰新媒体","2.260","+0.500","28.41%","0.98%","211.72%","88.33%","0.000","0.000","0","0","1096.97万","2372.65万","0.000%","1.810","1.760","2.460","1.740","35.53","-0.02","40.91","1.359","1.569","0.472","4.81","0.00%","1.830","2.380","3.98%","5.31%","18.25万","21.18万","10.80","7.08","+0.070","+0.120","1.65亿","6978.12万","7279.05万","3087.67万","61.43%","63.77%","69.92%","205.82%","158.88%","互联网内容与信息"
"32","ADTX","ADITX THERAPEUTICS INC","5.260","+1.160","28.29%","6.91%","167.01%","152.88%","0.000","0.000","0","0","1700.64万","8521.45万","0.000%","4.170","4.100","5.590","4.170","183.83","0.18","34.63","亏损","亏损","4.700","7.27","0.00%","4.190","5.060","2.20%","-3.80%","43.72万","80.23万","12.68","10.08","+0.090","-0.200","6459.12万","4866.26万","1227.97万","925.14万","44.11%","66.98%","118.71%","27.05%","0.00%","生物技术"
"33","QTT","趣头条","5.450","+1.200","28.24%","2.16%","131.91%","242.77%","0.000","0.000","0","0","2588.54万","1.36亿","0.000%","4.390","4.250","5.640","4.380","22.25","0.00","29.65","亏损","亏损","-","2.87","0.00%","4.390","5.740","3.29%","5.32%","78.12万","137.62万","7.76","6.61","+0.140","+0.290","16.26亿","6.34亿","2.98亿","1.16亿","50.97%","70.31%","154.67%","101.11%","0.55%","互联网内容与信息"
"34","EGKPF","EAGLE BLK SHP WT","0.060","+0.013","27.46%","20.00%","100.00%","42.86%","0.000","0.000","0","0","4.67万","2643","0.000%","0.050","0.047","0.060","0.050","0.00","0.00","21.24","-","-","-","2.06","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","87.50%","66.67%","140.00%","566.67%","252.94%","-"
"35","AMPYW","AMPLIFY ENER EIW","0.065","+0.014","27.45%","0.00%","160.00%","170.83%","0.000","0.000","0","0","1.34万","964","0.000%","0.048","0.051","0.079","0.048","0.00","0.00","60.78","-","-","-","1.20","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","30.00%","91.18%","91.18%","80.56%","550.00%","-"
"36","RAVE","Rave Restaurant Group","1.650","+0.350","26.92%","1.91%","135.71%","81.32%","0.000","0.000","0","0","985.58万","1591.33万","0.000%","1.300","1.300","1.690","1.280","76.09","1.22","31.54","亏损","亏损","6.903","5.88","0.00%","1.310","1.760","0.77%","6.67%","7547","169.64万","4.62","32.73","+0.010","+0.110","2970.81万","2137.31万","1800.49万","1295.34万","30.95%","68.20%","77.61%","196.23%","21.32%","饭馆"
"37","YALA","雅乐科技","40.620","+8.590","26.82%","1.50%","351.33%","183.46%","0.000","0.000","0","0","377.38万","1.45亿","0.000%","33.450","32.030","41.350","33.000","20.29","0.49","26.07","亏损","365.945","28.346","1.71","0.00%","33.580","39.800","4.84%","-2.02%","117.07万","42.77万","2.78","3.64","+1.550","-0.820","58.18亿","7.56亿","1.43亿","1860万","36.35%","64.32%","124.42%","0.00%","0.00%","软件-应用"
"38","NXTD","Nxt-ID","2.180","+0.460","26.74%","0.00%","592.06%","36.25%","0.000","0.000","0","0","5414.63万","1.18亿","0.000%","2.020","1.720","2.490","1.940","170.03","0.94","31.98","亏损","亏损","13.212","1.31","0.00%","2.030","2.250","18.02%","3.21%","393.08万","98.46万","29.07","13.76","+0.310","+0.070","9821.72万","6942.13万","4505.38万","3184.46万","74.40%","60.29%","53.52%","417.81%","454.71%","保安及保护服务"
"39","MNPR","Monopar Therapeutics","10.600","+2.200","26.19%","4.13%","122.69%","73.20%","0.000","0.000","0","0","833.29万","1.11亿","0.000%","15.950","8.400","17.010","9.600","272.87","-1.53","88.21","亏损","亏损","6.941","66.35","0.00%","16.010","10.090","90.60%","-4.81%","2108.65万","9.74万","136.90","8.77","+7.610","-0.510","1.21亿","3237.01万","1145.22万","305.38万","32.50%","24.56%","65.37%","79.05%","-14.56%","生物技术"
"40","YJ","云集","3.800","+0.780","25.83%","2.43%","103.21%","105.41%","0.000","0.000","0","0","698.03万","2587.28万","0.000%","3.080","3.020","4.450","3.010","21.77","1.32","47.68","亏损","亏损","3.857","2.60","0.00%","3.100","3.900","2.65%","2.63%","2.81万","15.78万","4.97","4.21","+0.080","+0.100","8.07亿","1.22亿","2.12亿","3206.48万","25.41%","71.17%","52.61%","40.74%","-15.56%","互联网零售"
"41","DMTK","DERMTECH INC","66.750","+13.700","25.82%","-0.27%","397.76%","105.76%","0.000","0.000","0","0","345.03万","2.31亿","0.000%","69.490","53.050","69.850","63.250","23.64","0.01","12.44","亏损","亏损","30.437","2.44","0.00%","69.270","67.250","30.57%","0.75%","397.16万","11.92万","15.04","3.57","+16.220","+0.500","15.91亿","9.74亿","2382.83万","1459.3万","35.56%","55.16%","70.63%","430.18%","380.22%","诊断与研究"
"42","LEDS","旭明光电股份有限公司","7.220","+1.450","25.13%","3.00%","148.11%","101.68%","0.000","0.000","0","0","667.41万","5007.59万","0.000%","5.650","5.770","9.380","4.960","305.19","-4.79","76.60","亏损","亏损","16.008","2.53","0.00%","5.640","6.500","-2.25%","-9.97%","1.44万","58.97万","5.55","16.34","-0.129","-0.720","2896.18万","1578.93万","401.13万","218.69万","52.00%","92.53%","112.79%","127.76%","252.20%","半导体"
"43","STAF","Staffing 360 Solutions","1.300","+0.260","25.00%","2.77%","28.71%","93.45%","0.000","0.000","0","0","3282.01万","4102.28万","0.770%","1.140","1.040","1.420","1.130","263.74","0.39","27.89","亏损","亏损","-","2.43","0.00%","1.140","1.300","9.62%","0.00%","152.37万","17.68万","14.42","7.69","+0.100","0.000","5102.05万","1617.75万","3924.65万","1244.43万","28.71%","50.29%","50.99%","83.62%","64.56%","人员配置和就业服务"
"44","GMOLQ","GENERAL MOLY ORD","0.018","+0.004","24.31%","0.00%","0.00%","-40.00%","0.000","0.000","0","0","71.02万","1.15万","0.000%","0.015","0.014","0.018","0.014","0.00","-19.09","26.24","-","-","-","1.78","0.00%","0.000","0.018","0.00%","1.11%","0","94","0.00","0.00","0.000","0.000","0","0","0","0","100.00%","38.46%","28.57%","0.00%","0.00%","-"
"45","POWW","AMMO INC","9.610","+1.860","24.00%","3.33%","0.00%","191.21%","0.000","0.000","0","0","976.47万","8896.25万","0.000%","8.250","7.750","9.900","8.000","17.92","-1.03","24.52","亏损","亏损","38.134","2.57","0.00%","8.250","9.250","6.45%","-3.75%","130.73万","46.13万","15.61","5.31","+0.500","-0.360","6.68亿","5.24亿","6946.3万","5449.93万","30.93%","77.96%","32.01%","0.00%","0.00%","航天军工"
"46","QRMLF","QRMLF","0.030","+0.006","23.75%","0.00%","163.64%","141.67%","0.000","0.000","0","0","33.30万","1.04万","0.000%","0.030","0.024","0.055","0.018","0.00","0.00","156.04","-","-","-","1.43","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","70.59%","163.64%","93.33%","81.25%","383.33%","-"
"47","SSTK","Shutterstock","85.350","+16.270","23.55%","0.12%","25.42%","19.04%","0.000","0.000","0","0","79.29万","6568.31万","0.600%","75.310","69.080","86.460","73.500","3.91","-0.49","18.76","43.324","43.324","7.334","2.53","0.00%","73.380","85.380","6.22%","0.04%","11.85万","110.67万","7.12","2.73","+4.300","+0.030","30.94亿","17.30亿","3625.61万","2026.69万","23.00%","28.25%","15.89%","73.80%","110.93%","互联网内容与信息"
"48","TNXP","Tonix Pharmaceuticals Holding Corp.","2.000","+0.370","22.70%","1.27%","224.15%","196.30%","0.000","0.000","0","0","1.28亿","2.43亿","0.000%","1.780","1.630","2.120","1.700","48.37","0.90","25.77","0.486","亏损","8.474","1.19","0.00%","1.780","1.940","9.20%","-3.00%","965.10万","633.20万","24.54","16.50","+0.150","-0.060","5.31亿","5.29亿","2.66亿","2.65亿","50.38%","103.87%","100.20%","115.98%","354.55%","生物技术"
"49","GLMD","Galmed Pharmaceuticals Ltd.","5.400","+0.990","22.45%","-2.44%","59.29%","73.63%","0.000","0.000","0","0","515.71万","2876.20万","0.000%","4.440","4.410","6.250","4.391","41.91","0.93","42.16","亏损","亏损","2.144","26.84","0.00%","4.440","5.620","0.68%","4.07%","4235","28.03万","4.76","10.19","+0.030","+0.220","1.15亿","6645.12万","2131.2万","1230.58万","14.16%","43.05%","60.24%","11.57%","-8.16%","生物技术"
"50","TRT","Trio-Tech International","6.180","+1.120","22.13%","-1.12%","61.36%","56.02%","0.000","0.000","0","0","179.93万","1156.53万","0.000%","5.130","5.060","7.500","4.880","100.62","7.94","51.78","32.526","23.769","0.932","87.96","0.00%","0.000","6.000","0.00%","-2.91%","0","3.93万","0.00","15.05","0.000","-0.180","2293.12万","1105.11万","371.06万","178.82万","28.75%","35.82%","45.10%","54.42%","79.13%","半导体设备与材料"
"51","QUIK","快辑半导体","5.470","+0.990","22.10%","1.30%","88.62%","44.33%","0.000","0.000","0","0","44.79万","227.42万","0.000%","4.590","4.480","5.490","4.524","4.15","0.55","21.56","亏损","亏损","4.250","5.17","0.00%","4.480","5.560","0.00%","1.65%","13","1.38万","0.00","3.47","0.000","+0.090","6054.46万","5898.21万","1106.85万","1078.28万","24.32%","42.45%","33.74%","69.35%","-8.99%","半导体"
"52","DLPN","Dolphin Entertainment","5.930","+1.070","22.02%","-3.51%","74.41%","74.41%","0.000","0.000","0","0","1078.92万","6792.86万","0.000%","4.910","4.860","7.500","4.610","222.87","0.51","59.47","亏损","亏损","1.900","27.78","0.00%","4.900","5.560","0.82%","-6.24%","5.02万","47.57万","7.66","16.02","+0.040","-0.370","3890.28万","2870.71万","656.03万","484.1万","41.53%","44.63%","45.70%","36.32%","49.37%","娱乐"
"53","LYRA","Lyra Therapeutics","13.190","+2.380","22.02%","-1.93%","24.67%","15.70%","0.000","0.000","0","0","255.57万","3441.86万","0.000%","14.000","10.810","14.680","12.620","70.04","0.08","19.06","亏损","亏损","2.107","22.63","0.00%","13.920","13.450","28.77%","1.97%","186.82万","3.12万","24.42","2.43","+3.110","+0.260","1.71亿","4813.15万","1292.7万","364.91万","23.73%","23.50%","20.24%","-4.07%","0.00%","生物技术"
"54","AMKR","艾马克技术公司","22.950","+4.140","22.01%","1.06%","73.01%","52.19%","0.000","0.000","0","0","1029.44万","2.28亿","0.170%","20.630","18.810","23.080","20.500","11.41","-0.96","13.72","16.392","16.392","2.392","4.13","0.00%","20.870","23.300","10.95%","1.53%","148.52万","1493.34万","4.68","3.83","+2.060","+0.350","55.64亿","20.70亿","2.42亿","9021.15万","33.82%","41.54%","31.90%","78.38%","82.19%","半导体"
"55","PZRXQ","PHASERX INC","0.0488","+0.0088","22.00%","20.00%","2300.00%","2300.00%","0.0000","0.0000","0","0","4.66万","2180","0.000%","0.0226","0.0400","0.0751","0.0226","0.00","0.00","131.25","-","-","-","0.42","0.00%","0.0000","0.0000","0.00%","0.00%","0","0","0.00","0.00","0.0000","0.0000","0","0","0","0","33.33%","700.00%","4700.00%","860.00%","0.00%","-"
"56","TMBR","TIMBER PHARMACEUTICALS, INC","2.280","+0.400","21.28%","0.44%","132.65%","206.86%","0.000","0.000","0","0","2422.07万","5463.60万","0.000%","2.280","1.880","2.560","1.920","436.60","-0.01","34.04","-","亏损","35.625","2.86","0.00%","2.240","2.210","19.15%","-3.07%","203.50万","25.96万","29.79","12.28","+0.360","-0.070","2743.39万","1264.83万","1203.24万","554.75万","70.15%","79.53%","94.87%","46.15%","-52.95%","生物技术"
"57","VNDA","Vanda Pharmaceuticals","18.670","+3.260","21.16%","0.32%","41.76%","42.09%","0.000","0.000","0","0","410.48万","7538.63万","0.000%","16.210","15.410","19.420","15.470","10.50","0.05","25.63","51.861","8.848","2.317","9.08","0.00%","16.350","18.960","6.10%","1.55%","2.18万","37.21万","5.26","6.91","+0.940","+0.290","10.21亿","7.30亿","5469.17万","3910.26万","29.65%","27.79%","33.36%","66.25%","47.01%","生物技术"
"58","YTEN","Yield10 Bioscience Inc","22.770","+3.830","20.22%","1.61%","278.24%","293.94%","0.000","0.000","0","0","47.76万","1025.69万","0.000%","18.772","18.940","23.490","18.510","21.20","-2.20","26.29","亏损","亏损","6.837","1.54","0.00%","18.610","24.010","-1.74%","5.45%","8604","2.11万","9.50","9.79","-0.330","+1.240","8116.67万","5128.89万","356.46万","225.25万","53.54%","60.01%","200.00%","336.21%","214.07%","农业投入"
"59","PAVM","PAVmed Inc.","3.210","+0.530","19.78%","3.22%","78.33%","51.42%","0.000","0.000","0","0","1274.96万","4006.05万","0.000%","2.700","2.680","3.600","2.655","20.64","0.78","35.26","亏损","亏损","-","2.31","0.00%","2.680","3.180","0.00%","-0.93%","25.43万","37.69万","3.36","4.98","0.000","-0.030","2.31亿","1.98亿","7190.43万","6176.81万","46.58%","55.83%","58.13%","58.13%","30.49%","医疗设备"
"60","HUYA","虎牙","33.290","+5.470","19.66%","0.03%","54.69%","67.03%","0.000","0.000","0","0","1105.08万","3.59亿","0.000%","27.880","27.820","34.340","27.571","14.08","-0.39","24.33","68.639","114.793","5.470","2.23","0.00%","27.900","33.470","0.29%","0.54%","31.39万","115.94万","2.52","2.01","+0.080","+0.180","78.33亿","26.12亿","2.35亿","7846.82万","26.48%","29.38%","52.92%","35.38%","58.15%","娱乐"
"61","DSP","Viant Technology Inc.","57.000","+9.280","19.45%","1.15%","0.00%","128.00%","0.000","0.000","0","0","176.98万","9619.09万","0.000%","46.810","47.720","60.800","46.800","20.82","-0.94","29.34","248.908","329.479","108.365","0.76","0.00%","47.020","59.000","-1.47%","3.51%","100.76万","10.77万","7.94","8.37","-0.700","+2.000","32.74亿","4.84亿","5743.56万","850万","0.00%","0.00%","0.00%","0.00%","0.00%","软件-应用"
"62","AIKI","AIKIDO PHARMA INC","1.910","+0.310","19.38%","-0.98%","264.50%","118.79%","0.000","0.000","0","0","2025.27万","3840.52万","0.000%","1.680","1.600","2.040","1.630","69.95","-0.53","25.62","10.052","亏损","2.284","3.17","0.00%","1.680","2.100","5.00%","9.95%","29.29万","82.47万","6.25","12.04","+0.080","+0.190","6669.76万","5529.86万","3492.02万","2895.22万","24.84%","34.51%","70.54%","159.86%","84.54%","生物技术"
