"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","总市值","流通市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"3952","ORC","Orchid Island Capital","5.590","+0.010","0.18%","0.09%","7.13%","8.40%","5.530","0.000","300","0","191.39万","1070.84万","14.940%","5.600","5.580","5.670","5.510","2.26","-0.09","2.87","50.818","13.000","1.262","0.91","100.00%","5.610","5.600","0.54%","0.18%","1.15万","4.11万","0.90","1.07","+0.030","+0.010","4.76亿","4.74亿","8512.14万","8485.27万","3.71%","4.68%","7.77%","15.12%","3.58%","REIT-抵押"
"3953","UPLD","Upland Software","50.180","+0.090","0.18%","-0.10%","16.51%","9.35%","0.000","0.000","0","0","20.17万","1019.59万","0.000%","50.550","50.090","51.380","50.160","0.80","-0.04","2.44","亏损","亏损","5.129","0.80","0.00%","0.000","50.180","0.00%","0.00%","0","85.71万","0.00","0.00","0.000","0.000","14.79亿","12.67亿","2946.43万","2525.68万","0.24%","2.22%","7.64%","48.29%","12.51%","软件-应用"
"3954","IBMQ","ISHARES TRUST IBONDS DEC 2028 TERM MUNI BOND ETF","27.785","+0.050","0.18%","0.00%","1.88%","0.74%","0.000","0.000","0","0","7928","22.02万","0.000%","27.790","27.735","27.790","27.755","0.36","0.00","0.13","-","-","-","0.93","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6112.48万","6112.68万","220万","220万","0.30%","0.42%","0.96%","1.77%","5.37%","-"
"3955","VIRS","PACER BIOTHREAT STRATEGY ETF","30.066","+0.054","0.18%","0.00%","6.57%","7.62%","0.000","0.000","0","0","594","1.79万","0.000%","30.125","30.012","30.125","30.040","0.30","0.08","0.28","-","-","-","0.98","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","601.30万","601.31万","20万","20万","2.21%","1.92%","4.35%","10.36%","0.00%","-"
"3956","SMDV","ProShares Russell 2000 Dividend Growers ETF","61.770","+0.110","0.18%","0.39%","12.83%","7.58%","0.000","0.000","0","0","4.15万","255.83万","0.000%","62.040","61.660","62.200","60.911","0.35","0.08","2.09","-","-","-","0.13","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","7.29亿","7.29亿","1180万","1180万","3.23%","6.01%","2.71%","24.21%","2.25%","-"
"3957","DSJA","INNOVATOR DOUBLE STACKER ETF - JANUARY","26.262","+0.047","0.18%","0.00%","0.00%","2.99%","0.000","0.000","0","0","0","0","0.000%","26.320","26.216","0.000","0.000","0.00","0.18","0.00","-","-","-","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","262.62万","262.62万","10万","10万","0.72%","2.79%","1.87%","0.00%","0.00%","-"
"3958","IVAL","Alpha Architect International Quantitative Value ETF","28.280","+0.050","0.18%","-0.04%","10.67%","3.28%","0.000","0.000","0","0","5134","14.52万","0.000%","28.330","28.230","28.350","28.270","0.12","-0.04","0.28","-","-","-","0.60","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.19亿","1.19亿","420万","420万","1.47%","1.49%","0.00%","12.00%","1.88%","-"
"3959","ETSY","ETSY INC","226.050","+0.400","0.18%","0.13%","80.96%","27.06%","0.000","0.000","0","0","152.14万","3.45亿","0.000%","227.102","225.650","230.040","223.730","1.22","0.02","2.80","122.853","297.434","42.755","0.57","0.00%","227.350","227.030","0.75%","0.43%","56.70万","824.23万","1.58","1.23","+1.700","+0.980","285.03亿","281.15亿","1.26亿","1.24亿","2.36%","11.68%","9.19%","73.76%","325.23%","互联网零售"
"3960","PLYM-A","Plymouth Industrial REIT, Inc. 7.50% Series A Cumulative Redeemable Preferred Stock","26.705","+0.047","0.18%","0.00%","2.71%","2.32%","0.000","0.000","0","0","1220","3.25万","0.000%","26.650","26.658","26.705","26.650","0.00","0.00","0.21","-","-","-","0.79","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","0.98%","1.12%","0.96%","4.96%","-2.47%","-"
"3961","THW","Tekla World Healthcare Fund","16.980","+0.030","0.18%","-0.03%","15.06%","7.99%","0.000","17.800","0","2400","8.63万","146.35万","8.240%","16.910","16.950","17.030","16.900","0.28","0.15","0.77","8.364","8.364","1.201","0.80","-100.00%","16.500","0.000","-2.65%","0.00%","3.63万","0","0.00","0.00","-0.450","0.000","5.16亿","5.16亿","3040.01万","3040.01万","1.86%","2.41%","2.55%","19.37%","29.42%","资产管理"
"3962","SHEN","Shenandoah Telecommunications Co. (Virginia)","45.730","+0.080","0.18%","0.55%","0.18%","5.73%","0.000","0.000","0","0","24.41万","1109.39万","0.630%","45.560","45.650","45.800","44.480","0.51","-0.09","2.89","25.126","41.572","4.158","0.91","0.00%","45.650","45.730","0.00%","0.00%","319","9.44万","0.00","0.00","0.000","0.000","22.80亿","21.80亿","4985.24万","4766.52万","3.79%","14.38%","5.22%","-15.46%","-2.47%","电信业务"
"3963","JANZ","TRUESHARES STRUCTURED OUTCOME (JANUARY) ETF","26.062","+0.046","0.18%","0.00%","0.00%","4.16%","0.000","0.000","0","0","3235","8.41万","0.000%","26.010","26.016","26.062","26.010","3.24","0.11","0.20","-","-","-","6.88","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","260.61万","260.62万","10万","10万","0.94%","2.58%","2.13%","0.00%","0.00%","-"
"3964","VHT","领航保健ETF","235.220","+0.410","0.17%","0.11%","8.22%","5.14%","0.000","0.000","0","0","18.45万","4333.18万","0.000%","235.600","234.810","235.810","233.888","0.31","0.11","0.82","-","-","-","0.84","0.00%","231.230","238.480","-1.52%","1.39%","11.48万","3.50万","1.52","1.53","-3.580","+3.260","141.84亿","141.84亿","6030万","6030万","1.43%","2.10%","1.36%","15.56%","21.24%","-"
"3965","SQBG","Sequential Brands Group, Inc.","17.230","+0.030","0.17%","0.00%","151.53%","20.07%","0.000","0.000","0","0","1.60万","27.69万","0.000%","17.450","17.200","18.000","17.000","1.47","0.00","5.81","亏损","亏损","0.950","0.56","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2845.51万","1880.87万","165.15万","109.16万","0.82%","-3.26%","5.97%","173.06%","58.95%","服装制造"
"3966","SPLG","SPDR Portfolio Large Cap ETF","45.940","+0.080","0.17%","0.13%","9.61%","4.50%","0.000","0.000","0","0","137.22万","6295.70万","0.000%","46.000","45.860","46.050","45.630","0.77","-0.03","0.92","-","-","-","0.81","0.00%","45.990","45.930","0.28%","-0.02%","4692","201.45万","0.37","0.02","+0.130","-0.010","82.32亿","82.32亿","1.79亿","1.79亿","1.14%","3.47%","2.91%","16.50%","17.94%","-"
"3967","SWI","SolarWinds Corp.","17.190","+0.030","0.17%","0.09%","-22.57%","14.98%","0.000","0.000","0","0","143.07万","2469.19万","0.000%","17.160","17.160","17.550","16.870","2.04","-0.38","3.96","143.250","286.500","1.940","1.34","0.00%","17.110","17.210","-0.29%","0.12%","2.02万","54.18万","0.35","1.80","-0.050","+0.020","53.98亿","12.04亿","3.14亿","7002.58万","2.26%","2.50%","17.42%","-14.01%","-7.43%","软件基础设施"
"3968","IVOL","KRANESHARES TR QUADRATIC INT RTE VOL & INF HDG ETF","28.740","+0.050","0.17%","0.05%","5.88%","3.06%","0.000","0.000","0","0","212.37万","6099.11万","0.000%","28.700","28.690","28.740","28.670","4.30","0.05","0.24","-","-","-","1.01","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","14.20亿","14.20亿","4940万","4940万","0.38%","1.30%","2.15%","7.43%","18.32%","-"
"3969","EMHY","iShares安硕新兴市场高收益债券ETF","46.130","+0.080","0.17%","0.04%","4.39%","-0.01%","0.000","0.000","0","0","6.50万","299.65万","0.000%","46.140","46.050","46.180","46.070","0.86","0.04","0.24","-","-","-","1.00","0.00%","46.040","0.000","-0.02%","0.00%","92","0","0.00","0.00","-0.010","0.000","3.51亿","3.51亿","760万","760万","0.13%","1.39%","1.41%","6.94%","1.89%","-"
"3970","AUOTY","AU OPTRONICS CRP","5.770","+0.010","0.17%","0.00%","57.22%","16.57%","0.000","0.000","0","0","8.48万","49.21万","0.000%","5.710","5.760","5.820","5.710","0.00","0.00","1.91","-","-","-","0.86","0.00%","0.000","5.770","0.00%","0.00%","0","421","0.00","0.00","0.000","0.000","0","0","0","0","-0.35%","13.14%","8.56%","85.53%","62.08%","-"
"3971","MGC","Vanguard Mega Cap Index Fund","139.260","+0.240","0.17%","0.06%","10.08%","4.35%","0.000","0.000","0","0","5.33万","741.75万","0.000%","139.580","139.020","139.651","138.460","0.21","-0.03","0.86","-","-","-","0.65","0.00%","139.020","139.260","0.00%","0.00%","417","278","0.00","0.00","0.000","0.000","34.68亿","34.68亿","2490万","2490万","1.05%","3.29%","3.08%","16.39%","20.21%","-"
"3972","GMOM","Cambria Global Momentum ETF","27.768","+0.048","0.17%","0.00%","13.22%","7.15%","0.000","0.000","0","0","3118","8.69万","0.000%","27.890","27.720","27.890","27.768","0.14","-0.19","0.44","-","-","-","0.40","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6386.41万","6386.62万","230万","230万","2.59%","3.83%","3.09%","13.69%","7.13%","-"
"3973","PINC","Premier","35.020","+0.060","0.17%","0.14%","-0.17%","-0.23%","0.000","0.000","0","0","56.38万","1973.96万","1.090%","34.880","34.960","35.325","34.710","0.47","0.14","1.76","13.573","17.166","1.970","1.42","0.00%","0.000","35.020","0.00%","0.00%","0","30.02万","0.00","0.00","0.000","0.000","42.81亿","42.31亿","1.22亿","1.21亿","-1.44%","2.31%","-4.89%","3.85%","10.70%","卫生信息服务"
"3974","CPER","美国铜指数基金","23.310","+0.040","0.17%","-0.04%","18.45%","7.26%","0.000","0.000","0","0","15.85万","369.16万","0.000%","23.300","23.270","23.360","23.120","3.30","0.00","1.03","-","-","-","1.29","0.00%","0.000","23.510","0.00%","0.86%","0","419","0.00","0.86","0.000","+0.200","1.12亿","1.12亿","480万","480万","6.24%","5.71%","4.67%","24.79%","42.79%","-"
"3975","JMPNZ","JMP GROUP LLC 6.875% SENIOR NOTES DUE 30/09/2029 USD25","24.500","+0.042","0.17%","0.00%","15.98%","5.38%","0.000","0.000","0","0","5519","13.51万","0.000%","24.440","24.458","24.529","24.440","0.00","0.00","0.36","-","-","-","1.21","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","1.46%","2.08%","2.51%","21.19%","10.19%","-"
"3976","AUGZ","TRUESHARES STRUCTURED OUTCOME AUGUST ETF","28.750","+0.049","0.17%","0.00%","7.42%","3.31%","0.000","0.000","0","0","0","0","0.000%","27.950","28.701","0.000","0.000","0.00","0.17","0.00","-","-","-","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","862.50万","862.51万","30万","30万","1.01%","2.61%","2.16%","12.55%","0.00%","-"
"3977","FEBZ","TRUESHARES STRUCTURED OUTCOME (FEBRUARY) ETF","25.704","+0.044","0.17%","0.00%","0.00%","2.73%","0.000","0.000","0","0","1","26","0.000%","25.790","25.659","25.704","25.704","0.00","0.17","0.00","-","-","-","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","0.93%","0.00%","0.00%","0.00%","0.00%","-"
"3978","MCS","马库斯","17.620","+0.030","0.17%","0.06%","75.32%","30.71%","0.000","0.000","0","0","52.88万","924.12万","1.870%","17.410","17.590","17.660","17.050","2.46","-0.06","3.47","亏损","13.051","1.015","0.77","0.00%","17.550","17.620","-0.23%","0.00%","6739","6.50万","0.23","0.00","-0.040","0.000","5.47亿","3.79亿","3106.43万","2153.11万","1.56%","-1.18%","20.27%","27.87%","-42.37%","娱乐"
"3979","KCNY","金瑞易方达中国短融ETF","35.430","+0.060","0.17%","0.00%","3.17%","1.70%","0.000","0.000","0","0","590","2.08万","0.000%","34.870","35.370","35.430","34.870","0.20","0.17","1.58","-","-","-","0.83","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1062.90万","1062.91万","30万","30万","0.97%","1.40%","0.81%","11.37%","11.26%","-"
"3980","MLCO","新濠博亚娱乐","17.660","+0.030","0.17%","-0.25%","-2.21%","-4.80%","0.000","0.000","0","0","80.37万","1421.28万","1.870%","17.600","17.630","17.810","17.590","0.40","-0.06","1.25","亏损","22.787","6.574","0.26","0.00%","0.000","17.660","0.00%","0.00%","0","19.03万","0.00","0.91","0.000","0.000","84.23亿","35.50亿","4.77亿","2.01亿","5.94%","10.72%","3.21%","-9.71%","-16.72%","度假村和赌场"
